life,tv
Routine,3
Routine,6
Routine,6
Exciting,2
Exciting,0
Exciting,1
Routine,3
Exciting,0
Dull,4
Exciting,3
Routine,2
Routine,4
Dull,5
Exciting,0
Exciting,5
Exciting,3
Dull,4
Routine,5
Routine,6
Routine,1
Routine,0
Routine,24
Routine,4
Exciting,4
Exciting,1
Exciting,1
Exciting,1
Routine,3
Exciting,1
Routine,3
Exciting,1
Routine,4
Routine,1
Routine,1
Exciting,1
Exciting,4
Routine,3
Routine,1
Exciting,2
Routine,3
Exciting,3
Routine,4
Dull,8
Exciting,8
Dull,10
Exciting,8
Routine,5
Routine,2
Routine,3
Routine,6
Routine,0
Routine,2
Routine,2
Exciting,2
Routine,1
Exciting,1
Exciting,1
Exciting,4
Exciting,0
Routine,2
Routine,2
Exciting,2
Routine,3
Routine,3
Dull,2
Dull,12
Routine,4
Exciting,6
Routine,6
Exciting,3
Routine,4
Routine,2
Routine,2
Dull,2
Routine,3
Exciting,4
Routine,2
Exciting,1
Routine,4
Exciting,2
Routine,2
Exciting,3
Routine,4
Exciting,3
Routine,1
Exciting,4
Routine,1
Exciting,7
Exciting,2
Routine,4
Routine,4
Routine,5
Routine,2
Exciting,4
Exciting,2
Routine,2
Dull,1
Exciting,3
Exciting,3
Exciting,1
Routine,2
Exciting,1
Exciting,2
Exciting,2
Routine,2
Dull,3
Routine,1
Routine,1
Routine,5
Routine,4
Exciting,2
Routine,2
Routine,4
Exciting,2
Exciting,1
Routine,7
Exciting,0
Exciting,4
Exciting,3
Exciting,2
Routine,3
Routine,2
Exciting,1
Don't know,5
Routine,1
Exciting,1
Routine,2
Exciting,2
Exciting,2
Routine,5
Don't know,5
Routine,4
Exciting,6
Routine,3
Routine,3
Exciting,3
Exciting,2
Exciting,2
Exciting,2
Exciting,2
Exciting,3
Routine,2
Exciting,1
Exciting,3
Exciting,3
Routine,1
Routine,9
Routine,4
Routine,3
Routine,2
Routine,2
Exciting,1
Routine,2
